"","name","VIP","t_test_table$adj.P.Val","FC_table$logFC"
"pX356.112289428711...954.400024414062","pX356.112289428711...954.400024414062",1.67633799798806,3.39576971433971e-12,-1.47442543508393
"nX353.172576904297...653.488586425781","nX353.172576904297...653.488586425781",1.67545322070519,8.24091208730097e-12,-2.29580508715418
"pX356.130279541016...954.399963378906","pX356.130279541016...954.399963378906",1.67204886840024,3.66961179590114e-12,-1.51410295107259
"pX355.734191894531...954.400024414062","pX355.734191894531...954.400024414062",1.67157890085375,3.99649612593264e-12,-1.20338878061766
"pX295.151000976562...1043.19995117188","pX295.151000976562...1043.19995117188",1.67146049346103,2.17240188621258e-11,-3.43920659623728
"pX299.214904785156...953.600067138672","pX299.214904785156...953.600067138672",1.67145969798849,4.83693167028136e-12,-1.44640769055067
"pX356.220397949219...954.400024414062","pX356.220397949219...954.400024414062",1.67062930354932,3.83635562511988e-12,-2.61081454106616
"pX364.208541870117...1043.19995117188","pX364.208541870117...1043.19995117188",1.67031505086824,2.92534245486439e-11,-3.31938372471556
"pX356.16633605957...954.399963378906","pX356.16633605957...954.399963378906",1.66965456886229,3.83635562511988e-12,-2.02746056643302
"pX223.130599975586...1294.39990234375","pX223.130599975586...1294.39990234375",1.66646346446405,4.61934766166123e-12,-2.99220454417855
"pX385.231140136719...1043.99987792969","pX385.231140136719...1043.99987792969",1.66614298311366,6.95512269141176e-11,-3.84482363917216
"pX356.202392578125...954.400024414062","pX356.202392578125...954.400024414062",1.66518791360392,4.55259424245345e-12,-4.56434414175074
"nX489.23323059082...1485.97326660156","nX489.23323059082...1485.97326660156",1.66494313562628,4.61934766166123e-12,-1.27376177466142
"nX333.106781005859...1072.79992675781","nX333.106781005859...1072.79992675781",1.66463366448679,2.28291662490985e-11,-1.93831576246168
"pX355.302291870117...655.200012207031","pX355.302291870117...655.200012207031",1.66416886312357,6.98261065901575e-12,-2.91128723056139
"pX361.209442138672...970.399981689453","pX361.209442138672...970.399981689453",1.66356132293952,2.02221521207835e-11,-1.99036387441037
"nX354.159881591797...653.4462890625","nX354.159881591797...653.4462890625",1.66326488752098,1.86358324725477e-11,-2.01591794580862
"pX355.140380859375...954.400024414062","pX355.140380859375...954.400024414062",1.66298518627926,4.82104527466912e-12,-1.77578397482986
"pX355.752197265625...954.400024414062","pX355.752197265625...954.400024414062",1.66291726608725,4.87634938728101e-12,-1.7507643654342
