"","name","VIP","t_test_table$adj.P.Val","FC_table$logFC"
"nX353.047088623047...952.965148925781","nX353.047088623047...952.965148925781",1.52514822785298,5.11152175845732e-10,-2.13133901402232
"nX235.111297607422...1186.40002441406","nX235.111297607422...1186.40002441406",1.61690429247667,1.27310370997316e-10,-2.6876720137309
"pX309.168884277344...1391.20007324219","pX309.168884277344...1391.20007324219",1.61667537975254,3.32387908589662e-11,-4.00231860712636
"pX167.022598266602...1293.59997558594","pX167.022598266602...1293.59997558594",1.60268156543643,7.52561190880784e-11,-3.19729957919138
"pX410.200088500977...609.600036621094","pX410.200088500977...609.600036621094",1.71999536072187,1.85110774140436e-07,-2.16643946864133
"nX347.1005859375...1186.67248535156","nX347.1005859375...1186.67248535156",1.6164650859393,9.26349793868269e-11,-2.08193919834832
"pX293.10498046875...1225.60009765625","pX293.10498046875...1225.60009765625",1.60224987902241,9.27575159187339e-11,-2.49427991609108
"pX379.204483032227...1268.80004882812","pX379.204483032227...1268.80004882812",1.65755089576248,1.86887213478724e-10,-2.19703297279026
"nX236.048889160156...1187.19995117188","nX236.048889160156...1187.19995117188",1.63182933047413,1.52193559764882e-11,-2.32620369354414
"nX235.096694946289...1186.39990234375","nX235.096694946289...1186.39990234375",1.61395727831518,1.0848779092699e-10,-3.29093046341545
"nX235.082000732422...1186.39990234375","nX235.082000732422...1186.39990234375",1.61394966448684,1.32196708559692e-10,-2.44078647885763
"nX347.135681152344...1187.19995117188","nX347.135681152344...1187.19995117188",1.60558682341245,1.75210172435252e-10,-2.49883969426089
"pX356.346496582031...954.400024414062","pX356.346496582031...954.400024414062",1.56799108066528,1.30346647007548e-10,-1.80769975163832
"nX348.114501953125...1186.6181640625","nX348.114501953125...1186.6181640625",1.6086870596924,8.33397234618174e-11,-1.98878181897935
"nX278.640502929688...1187.19995117188","nX278.640502929688...1187.19995117188",1.5916302270006,1.30420252853702e-10,-1.31690997771584
"pX257.064392089844...953.600036621094","pX257.064392089844...953.600036621094",1.55359716725654,2.53018678093505e-10,-2.33300743474707
"pX462.366546630859...1043.19995117188","pX462.366546630859...1043.19995117188",1.64764232859194,7.83067959401484e-11,-1.48139481987325
"pX410.180740356445...609.600036621094","pX410.180740356445...609.600036621094",1.71461730598367,1.97441832529961e-07,-2.10616728093937
"pX386.187103271484...1043.2001953125","pX386.187103271484...1043.2001953125",1.63703856051035,9.88226491911187e-11,-2.87574525057651
"nX235.052795410156...1186.37091064453","nX235.052795410156...1186.37091064453",1.60826540672157,1.91629507700238e-10,-3.13690755502401
"nX346.993499755859...1186.40002441406","nX346.993499755859...1186.40002441406",1.60208870676188,1.59039408847231e-10,-3.42652034263263
"pX356.292434692383...954.400024414062","pX356.292434692383...954.400024414062",1.59078580000918,6.33255099144911e-11,-3.0510854874064
"nX397.155395507812...776.799987792969","nX397.155395507812...776.799987792969",1.58669509268468,1.01434548851236e-10,-5.92777796590634
"pX335.141937255859...1072.80004882812","pX335.141937255859...1072.80004882812",1.59809242929193,6.72562292380064e-10,-2.51379880519813
"nX355.130584716797...652.863098144531","nX355.130584716797...652.863098144531",1.62618487430554,9.66816359123247e-10,-1.35152123458485
"nX334.222595214844...1072.80004882812","nX334.222595214844...1072.80004882812",1.62237538527204,7.39438853565738e-11,-1.49451281476511
"pX224.086791992188...1187.19995117188","pX224.086791992188...1187.19995117188",1.60941447824892,1.04425221031391e-10,-1.74165517870063
"pX167.010192871094...1187.19995117188","pX167.010192871094...1187.19995117188",1.60447828772886,1.07225789019607e-10,-3.09228456909825
"nX235.067398071289...1186.36682128906","nX235.067398071289...1186.36682128906",1.60598354921629,2.37531934223243e-10,-3.48717798719355
"pX300.057495117188...953.600036621094","pX300.057495117188...953.600036621094",1.54571573473644,2.81677565099467e-10,-2.66350202580295
"nX278.146789550781...1186.40002441406","nX278.146789550781...1186.40002441406",1.60062981819188,2.59532424482138e-10,-2.50631716940685
"nX346.922302246094...1187.18347167969","nX346.922302246094...1187.18347167969",1.59715520083212,1.10299410761832e-10,-2.96749541100139
"nX375.562042236328...1416.31774902344","nX375.562042236328...1416.31774902344",1.55818282867804,2.10070424422868e-10,-2.61727439049144
"pX223.073501586914...1186.93200683594","pX223.073501586914...1186.93200683594",1.60538353118987,1.27518076982138e-10,-1.46828463235204
"nX353.065002441406...953.238891601562","nX353.065002441406...953.238891601562",1.49716774444924,1.34231950525874e-09,-1.90172168165276
"pX167.022598266602...1187.19995117188","pX167.022598266602...1187.19995117188",1.60059707482459,2.32464600209108e-10,-2.31748330685643
"pX598.427856445312...2107.19995117188","pX598.427856445312...2107.19995117188",1.61470108561081,3.72956383213328e-11,-1.81164224224574
"nX278.051300048828...1186.40002441406","nX278.051300048828...1186.40002441406",1.59893838647873,2.70405059494645e-10,-2.20521052115619
"pX355.536193847656...655.200012207031","pX355.536193847656...655.200012207031",1.59747661763806,6.72139167780096e-11,-2.22012664654117
"pX193.052688598633...1072.80004882812","pX193.052688598633...1072.80004882812",1.58403532218687,2.03242020411026e-10,-2.31056631061203
"nX715.374816894531...1895.85913085938","nX715.374816894531...1895.85913085938",1.62337206875172,2.81189487384924e-11,-2.55693098585923
"pX223.087799072266...1186.40002441406","pX223.087799072266...1186.40002441406",1.60375109683366,1.54899144876603e-10,-1.40169717562834
"nX278.067291259766...1186.40002441406","nX278.067291259766...1186.40002441406",1.59346473725421,5.37401221707724e-10,-2.26896235213748
"pX321.181488037109...1390.39990234375","pX321.181488037109...1390.39990234375",1.57572260259547,1.02575114617711e-10,-3.13625371670023
"pX223.087799072266...1072.80004882812","pX223.087799072266...1072.80004882812",1.59081765855538,6.86167625445875e-11,-3.48485535509662
"nX279.118682861328...1186.39202880859","nX279.118682861328...1186.39202880859",1.59572205697948,2.80997928475969e-10,-2.72011145102937
"pX356.436584472656...954.400024414062","pX356.436584472656...954.400024414062",1.56989450603149,1.30981769864606e-10,-2.13437406544476
"nX346.975677490234...1186.54724121094","nX346.975677490234...1186.54724121094",1.58770628283867,2.81156961548411e-10,-2.94170830037711
"pX223.130599975586...1186.4716796875","pX223.130599975586...1186.4716796875",1.60048353241803,2.12790139723823e-10,-1.5644385668764
"pX224.101089477539...1187.19995117188","pX224.101089477539...1187.19995117188",1.60118151554212,1.42083524466903e-10,-1.52297751199419
"pX223.315887451172...1187.19995117188","pX223.315887451172...1187.19995117188",1.58756752302856,2.15448869943474e-10,-2.05394132692392
"pX309.185699462891...1391.20007324219","pX309.185699462891...1391.20007324219",1.59288314775442,8.05883308736111e-11,-4.08547612153735
"pX223.116287231445...1186.40002441406","pX223.116287231445...1186.40002441406",1.59823082825513,2.02680472179472e-10,-1.34158405892381
